Collection,Brand,Macro Region|Orig. Req. Deliv. Month/Year,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,Total,StyleCode,Size,ColorDescription,FrameConstruction,FrameShape,RXAble,Gender,SunOptical,Material1,Material2,USRetailPrice,USWholesalePrice
LA,LACOSTE OPTICAL,AMER,13.0,21.0,16.0,38.0,11.0,18.0,14.0,26.0,10.0,14.0,6.0,13.0,200.0,L2886,53,BLACK,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,EMEA,43.0,46.0,163.0,27.0,45.0,56.0,67.0,29.0,39.0,105.0,39.0,15.0,674.0,L2886,53,BLACK,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,AMER,53.0,65.0,61.0,61.0,53.0,59.0,42.0,70.0,44.0,44.0,56.0,56.0,664.0,L2886,53,MATTE BLACK,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,EMEA,145.0,147.0,163.0,65.0,104.0,172.0,237.0,127.0,147.0,241.0,123.0,71.0,1742.0,L2886,53,MATTE BLACK,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,AMER,35.0,29.0,20.0,9.0,10.0,18.0,11.0,11.0,16.0,6.0,3.0,5.0,173.0,L2886,53,MATTE BLUE,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,EMEA,191.0,169.0,259.0,104.0,153.0,164.0,212.0,117.0,143.0,226.0,112.0,75.0,1925.0,L2886,53,MATTE BLUE,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,AMER,25.0,28.0,21.0,26.0,20.0,22.0,29.0,51.0,43.0,22.0,27.0,21.0,335.0,L2886,55,BLACK,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,EMEA,68.0,36.0,26.0,12.0,34.0,22.0,35.0,27.0,43.0,40.0,24.0,12.0,379.0,L2886,55,BLACK,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,AMER,54.0,54.0,46.0,57.0,33.0,40.0,51.0,48.0,93.0,44.0,40.0,43.0,603.0,L2886,55,MATTE BLACK,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,EMEA,136.0,103.0,210.0,53.0,72.0,81.0,98.0,113.0,96.0,109.0,95.0,46.0,1212.0,L2886,55,MATTE BLACK,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
